"","pair1","trial","table_motion_mean","trial_duration_mean","Incontrol_leading_mean","Joint_control_mean","Coordinated_mean","Participant_ID_mean","table_motion_sd","trial_duration_sd","Incontrol_leading_sd","Joint_control_sd","Coordinated_sd","Participant_ID_sd","table_motion_n","trial_duration_n","Incontrol_leading_n","Joint_control_n","Coordinated_n","Participant_ID_n"
"69",9,4,33.6378551572572,65.383,4.5,5,5.5,17.5,NA,NA,2.12132034355964,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"70",9,5,56.9995328367791,66.1010000000001,3,2.5,3,17.5,NA,NA,0,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"71",9,6,60.1505615981863,54.9010000000001,2,2,2,17.5,NA,NA,0,0,0,0.707106781186548,3,3,3,3,3,3
"72",9,7,37.4133370166232,63.299,6,5.5,6,17.5,NA,NA,0,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"73",9,8,29.7178198054683,56.3309999999999,6,6,6,17.5,NA,NA,0,0,0,0.707106781186548,3,3,3,3,3,3
"74",10,0,21.6745278690118,44.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"75",10,1,52.6548784617453,76.341,4,5.5,6,19.5,NA,NA,0,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"76",10,2,37.0933281260113,71.455,4.5,6.5,6.5,19.5,NA,NA,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"77",10,3,69.7586711198521,74.855,4.5,3,3,19.5,NA,NA,3.53553390593274,0,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"78",10,4,37.7569656539864,56.717,4.5,2.5,2.5,19.5,NA,NA,3.53553390593274,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"79",10,5,49.7825144465193,67.981,4,5.5,5,19.5,NA,NA,1.4142135623731,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"80",10,6,52.9600895595191,67.093,5,6,5.5,19.5,NA,NA,0,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"81",10,7,72.7026982033716,67.567,3,2.5,4,19.5,NA,NA,2.82842712474619,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"82",11,0,69.8675485405147,64.8499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"83",12,0,11.8358400161585,40.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"84",12,1,35.3350557069699,100.489,3.5,7,5,21.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"85",12,2,43.2406585880404,86.502,4.5,7,6.5,21.5,NA,NA,0.707106781186548,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"86",12,3,28.4793129592071,73.1129999999999,5.5,6.5,7,21.5,NA,NA,0.707106781186548,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"87",12,4,29.1295298053561,70.6889999999999,5,7,6.5,21.5,NA,NA,1.4142135623731,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"88",12,5,23.378980403137,69.413,5,6.5,7,21.5,NA,NA,2.82842712474619,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"89",12,6,24.6915035776683,68.9770000000001,4.5,6.5,5.5,21.5,NA,NA,2.12132034355964,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"90",12,7,22.6137335962291,66.9550000000002,4,7,7,21.5,NA,NA,1.4142135623731,0,0,0.707106781186548,3,3,3,3,3,3
"91",12,8,26.5601824567963,71.123,3.5,6.5,6,21.5,NA,NA,0.707106781186548,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"92",13,0,17.5290842898837,63.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"93",13,1,30.0553842047662,91.34,4,5.5,6,23.6666666666667,NA,NA,0,0.707106781186548,0,0.577350269189626,4,4,4,4,4,4
"94",13,2,30.7839086356074,86.859,3.5,6,6,23.5,NA,NA,2.12132034355964,0,0,0.707106781186548,3,3,3,3,3,3
"95",13,3,29.7458674840429,87.2809999999999,3.5,6,6.5,23.5,NA,NA,2.12132034355964,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"96",13,4,25.9551718159514,94.717,3.5,6,6.5,23.6666666666667,NA,NA,2.12132034355964,0,0.707106781186548,0.577350269189626,4,4,4,4,4,4
"97",13,5,38.4843559869838,75.621,2.5,5.5,6,23.5,NA,NA,0.707106781186548,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"98",13,6,33.3993873903719,79.5940000000001,4,4,6,23.5,NA,NA,0,1.4142135623731,0,0.707106781186548,3,3,3,3,3,3
"99",13,7,31.6205572166322,94.239,3.5,4.5,6.5,23.5,NA,NA,3.53553390593274,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"100",13,8,36.5962513115404,89.2730000000001,3.5,3.5,6.5,23.5,NA,NA,3.53553390593274,2.12132034355964,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"101",14,0,14.0810612508465,61.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"102",14,1,40.3402088161717,72.202,4.5,6.5,6,25.5,NA,NA,0.707106781186548,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"103",14,2,36.124277235382,92.361,5,7,5.5,25.5,NA,NA,2.82842712474619,0,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"104",14,3,27.341759251811,70.515,6.5,7,7,25.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"105",14,4,29.683456183925,73.9649999999999,6,7,6.5,25.5,NA,NA,0,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"106",14,5,47.8335647588758,72.9690000000001,3,5.5,3,25.5,NA,NA,0,2.12132034355964,0,0.707106781186548,3,3,3,3,3,3
"107",14,6,56.5270888269021,102.423,4,6.5,6,25.5,NA,NA,1.4142135623731,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"108",14,7,34.4651536546538,104.139,5,7,6,25.5,NA,NA,0,0,0,0.707106781186548,3,3,3,3,3,3
"109",14,8,29.8330283133388,89.961,5.5,7,6.5,25.5,NA,NA,0.707106781186548,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"110",15,0,37.5184159345538,58.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"111",15,1,60.5554230238278,79.729,4.5,5,5,27.5,NA,NA,0.707106781186548,1.4142135623731,0,0.707106781186548,3,3,3,3,3,3
"112",15,2,94.9588063391055,113.969,5,4.5,5,27.5,NA,NA,0,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"113",15,3,60.523927855736,70.428,3,2.5,2.5,27.5,NA,NA,0,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"114",15,4,66.8882532755433,69.11,2.5,2.5,2.5,27.5,NA,NA,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"115",15,5,66.7354567760844,67.9300000000001,5.5,5,5,27.5,NA,NA,0.707106781186548,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"116",15,6,68.2346853290172,62.4100000000001,5.66666666666667,4.33333333333333,5,27.25,NA,NA,0.577350269189626,0.577350269189626,1.4142135623731,0.5,5,5,5,5,5,5
"117",15,7,66.5340147080076,57.4459999999999,4,3,2.5,27.5,NA,NA,2.82842712474619,1.4142135623731,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"118",15,8,58.2410599128928,55.3809999999999,5.5,3,3,27.5,NA,NA,0.707106781186548,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"119",16,0,14.0663597331211,39.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"120",16,1,31.1769917054676,84.298,6,6,6,29.5,NA,NA,1.4142135623731,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"121",16,2,25.933696870213,65.297,6.5,6,6,29.5,NA,NA,0.707106781186548,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"122",16,3,24.6598734126208,54.123,4,5.5,6,29.5,NA,NA,2.82842712474619,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"123",16,4,23.9498289864644,52.636,5.5,6,6,29.5,NA,NA,2.12132034355964,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"124",16,5,23.037399306929,53.569,7,7,7,29.5,NA,NA,0,0,0,0.707106781186548,3,3,3,3,3,3
"125",16,6,23.6024152362175,52.2089999999999,6.5,7,7,29.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"126",16,7,26.0107362802846,56.9799999999999,6,7,7,29.5,NA,NA,1.4142135623731,0,0,0.707106781186548,3,3,3,3,3,3
"127",16,8,23.0586143473823,55.827,5.5,7,7,29.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"128",17,0,19.3130011985892,37.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"129",17,1,36.1227101840895,58.582,4.5,6.5,6,31.5,NA,NA,0.707106781186548,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"130",17,2,42.6732398267597,57.898,4,5.5,4.5,31.5,NA,NA,1.4142135623731,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"131",17,3,33.0857362989719,58.032,5.5,6,6,31.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"132",17,4,39.4102678475134,55.941,4.5,5,5,31.5,NA,NA,2.12132034355964,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"133",17,5,32.2156178024431,55.322,4,5,4.5,31.5,NA,NA,0,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"134",17,6,33.8428451329789,52.986,4,5.5,4.5,31.5,NA,NA,0,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"135",17,7,39.8128656403111,69.846,4,3.5,3,31.5,NA,NA,1.4142135623731,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"136",17,8,29.234619399544,58.025,4.5,4.5,4.5,31.5,NA,NA,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"137",18,0,18.769378629999,44.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"138",18,1,52.224329687033,74.546,5,6,5,33.5,NA,NA,0,0,0,0.707106781186548,3,3,3,3,3,3
"139",18,2,61.6626135067509,88.007,4,5.5,4,33.5,NA,NA,0,2.12132034355964,0,0.707106781186548,3,3,3,3,3,3
"140",18,3,41.6743826880907,82.418,4.5,6,6.5,33.5,NA,NA,3.53553390593274,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"141",18,4,45.895660009615,88.37,5.5,6,6,33.5,NA,NA,2.12132034355964,0,0,0.707106781186548,3,3,3,3,3,3
"142",18,5,43.7702031285997,70.348,3,3.5,3.5,33.5,NA,NA,1.4142135623731,2.12132034355964,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"143",18,6,39.2146193567254,78.61,4.5,4.5,5,33.5,NA,NA,2.12132034355964,2.12132034355964,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"144",18,7,38.5646027899839,74.4069999999999,4.5,6.5,6.5,33.5,NA,NA,3.53553390593274,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"145",18,8,42.483507919536,69.432,3.5,5,5,33.5,NA,NA,2.12132034355964,0,0,0.707106781186548,3,3,3,3,3,3
"146",19,0,18.0408005400471,46.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"147",19,1,33.4424031633602,78.155,3.5,6.5,6,35.5,NA,NA,3.53553390593274,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"148",19,2,43.8854276433142,95.02,3,6,6,35.5,NA,NA,2.82842712474619,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"149",19,3,39.5005452295443,68.556,4,5,5,35.5,NA,NA,2.82842712474619,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"150",19,4,42.9714819248408,66.5920000000001,4,5,4.5,35.5,NA,NA,1.4142135623731,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"151",19,5,51.7965470526324,82.5410000000001,3.5,6,3.5,35.5,NA,NA,0.707106781186548,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"152",19,6,51.5062862621519,89.5360000000001,3,5.5,4,35.5,NA,NA,0,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"153",19,7,38.1495070068222,80.8779999999999,4,5.5,4,35.5,NA,NA,1.4142135623731,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"154",19,8,39.2429304236084,76.8390000000002,3,6.5,4.5,35.5,NA,NA,0,0.707106781186548,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"155",19,9,43.9247620716909,54.57,4.5,3.5,3.5,37.5,NA,NA,2.12132034355964,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"156",19,10,27.9271409825239,66.542,4,4.5,6.5,37.5,NA,NA,1.4142135623731,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"157",19,11,36.3384870416294,72.424,4,4,6,37.5,NA,NA,2.82842712474619,2.82842712474619,0,0.707106781186548,3,3,3,3,3,3
"158",19,12,40.3629507606163,73.9829999999999,4,5,5.5,37.5,NA,NA,2.82842712474619,1.4142135623731,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"159",19,13,34.5820072585091,66.7289999999999,4,6.5,6,37.5,NA,NA,0,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"160",19,14,27.6399909919532,62.8960000000001,3,6.5,6.5,37.5,NA,NA,0,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"161",19,15,27.4370863050619,59.448,4,6.5,6.5,37.5,NA,NA,1.4142135623731,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"162",19,16,32.7180626430431,61.399,4,4,6.5,37.5,NA,NA,2.82842712474619,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"163",20,0,20.3006670746719,43.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"164",20,1,40.8875525710782,75.555,4,5.5,5.5,39.5,NA,NA,0,2.12132034355964,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"165",20,2,44.9213193352228,78.477,3.5,5,5.5,39.5,NA,NA,0.707106781186548,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"166",20,3,43.1102173725125,77.005,3.5,6,5.5,39.5,NA,NA,0.707106781186548,1.4142135623731,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"167",20,4,50.5817841146709,74.9399999999999,3.5,6,5.5,39.5,NA,NA,0.707106781186548,1.4142135623731,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"168",20,5,45.3359947309673,68.1559999999999,4.5,3.5,3,39.5,NA,NA,2.12132034355964,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"169",20,6,55.8557842802377,73.1229999999999,3,3.5,3.5,39.5,NA,NA,0,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"170",20,7,57.2870349332551,72.995,5,3.5,3,39.5,NA,NA,0,0.707106781186548,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"171",20,8,62.6345842793459,71.634,5,3.5,3.5,39.5,NA,NA,0,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"172",21,0,23.1040180343417,67.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"173",21,1,78.0266175983511,78.314,4,4,5,41.5,NA,NA,2.82842712474619,1.4142135623731,0,0.707106781186548,3,3,3,3,3,3
"174",21,2,80.809504540787,63.989,3.5,2.5,3.5,41.5,NA,NA,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"175",21,3,46.6686669584669,90.7430000000001,6,7,7,41.5,NA,NA,1.4142135623731,0,0,0.707106781186548,3,3,3,3,3,3
"176",21,4,41.8936772388536,76.7529999999999,5.5,6,6,41.5,NA,NA,2.12132034355964,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"177",21,5,51.7881806561039,87.952,4,4,5,41.5,NA,NA,4.24264068711928,2.82842712474619,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"178",21,6,52.171213279875,82.614,4,4,5.5,41.5,NA,NA,1.4142135623731,2.82842712474619,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"179",21,7,42.7125298889752,56.5529999999999,6.5,7,7,41.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"180",21,8,44.3711522974444,59.942,7,6,6.5,41.5,NA,NA,0,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
